test	struct	rep	count	variable	value
insert	rdeque	4	6000	seconds	0.59934718
remove	rdeque	4	6000	seconds	0.943786461
mix	rdeque	4	6000	seconds	0.762190454
insert	rpqueue	4	6000	seconds	2.320368238
remove	rpqueue	4	6000	seconds	1.851062879
mix	rpqueue	4	6000	seconds	2.210408394
insert	rstack	5	6000	seconds	0.20528514
remove	rstack	5	6000	seconds	0.273617148
mix	rstack	5	6000	seconds	0.230015999
insert	rdeque	5	6000	seconds	0.63625041
remove	rdeque	5	6000	seconds	0.956965918
mix	rdeque	5	6000	seconds	0.746015377
insert	rpqueue	5	6000	seconds	2.32852622
remove	rpqueue	5	6000	seconds	1.852741348
mix	rpqueue	5	6000	seconds	2.119069856
insert	rstack	6	6000	seconds	0.204308368
remove	rstack	6	6000	seconds	0.263368877
mix	rstack	6	6000	seconds	0.231433891
insert	rdeque	6	6000	seconds	0.622562476
remove	rdeque	6	6000	seconds	0.997428837
mix	rdeque	6	6000	seconds	0.762775712
insert	rpqueue	6	6000	seconds	2.391372861
remove	rpqueue	6	6000	seconds	1.848064893
mix	rpqueue	6	6000	seconds	2.126073055
insert	rstack	7	6000	seconds	0.20571339
remove	rstack	7	6000	seconds	0.275955772
mix	rstack	7	6000	seconds	0.241411273
insert	rdeque	7	6000	seconds	0.611754083
remove	rdeque	7	6000	seconds	0.993717198
mix	rdeque	7	6000	seconds	0.752328763
insert	rpqueue	7	6000	seconds	2.290846686
remove	rpqueue	7	6000	seconds	1.869456951
mix	rpqueue	7	6000	seconds	2.126201135
insert	rstack	8	6000	seconds	0.19409422
remove	rstack	8	6000	seconds	0.27491571
mix	rstack	8	6000	seconds	0.227977598
insert	rdeque	8	6000	seconds	0.594969511
remove	rdeque	8	6000	seconds	0.943052247
mix	rdeque	8	6000	seconds	0.829244729
insert	rpqueue	8	6000	seconds	2.28451052
remove	rpqueue	8	6000	seconds	1.856383219
mix	rpqueue	8	6000	seconds	2.117689836
insert	rstack	9	6000	seconds	0.198808457
remove	rstack	9	6000	seconds	0.271640195
mix	rstack	9	6000	seconds	0.226835601
insert	rdeque	9	6000	seconds	0.593630671
remove	rdeque	9	6000	seconds	0.93567459
mix	rdeque	9	6000	seconds	0.760834269
insert	rpqueue	9	6000	seconds	2.342934074
remove	rpqueue	9	6000	seconds	1.846248058
mix	rpqueue	9	6000	seconds	2.153757513
insert	rstack	10	6000	seconds	0.203741458
remove	rstack	10	6000	seconds	0.273816727
mix	rstack	10	6000	seconds	0.230455451
insert	rdeque	10	6000	seconds	0.592986963
remove	rdeque	10	6000	seconds	0.949360363
mix	rdeque	10	6000	seconds	0.740057715
insert	rpqueue	10	6000	seconds	2.337343816
remove	rpqueue	10	6000	seconds	1.838419064
mix	rpqueue	10	6000	seconds	2.111649643
insert	rstack	1	7000	seconds	0.23562655
remove	rstack	1	7000	seconds	0.309897654
mix	rstack	1	7000	seconds	0.27062175
insert	rdeque	1	7000	seconds	0.700334484
remove	rdeque	1	7000	seconds	1.118210787
mix	rdeque	1	7000	seconds	0.851584471
insert	rpqueue	1	7000	seconds	2.600286739
remove	rpqueue	1	7000	seconds	2.315190969
mix	rpqueue	1	7000	seconds	2.468800191
insert	rstack	2	7000	seconds	0.235238224
remove	rstack	2	7000	seconds	0.319271225
mix	rstack	2	7000	seconds	0.274666756
insert	rdeque	2	7000	seconds	0.690712969
remove	rdeque	2	7000	seconds	1.109076917
mix	rdeque	2	7000	seconds	0.839084995
insert	rpqueue	2	7000	seconds	2.528498069
remove	rpqueue	2	7000	seconds	2.314282216
mix	rpqueue	2	7000	seconds	2.462523593
insert	rstack	3	7000	seconds	0.237331048
remove	rstack	3	7000	seconds	0.31084421
mix	rstack	3	7000	seconds	0.291767211
insert	rdeque	3	7000	seconds	0.700282251
remove	rdeque	3	7000	seconds	1.103922782
mix	rdeque	3	7000	seconds	0.853374152
insert	rpqueue	3	7000	seconds	2.54054403
remove	rpqueue	3	7000	seconds	2.382071916
mix	rpqueue	3	7000	seconds	2.431590459
insert	rstack	4	7000	seconds	0.241651001
remove	rstack	4	7000	seconds	0.316678799
mix	rstack	4	7000	seconds	0.276790825
insert	rdeque	4	7000	seconds	0.701656879
remove	rdeque	4	7000	seconds	1.192865749
mix	rdeque	4	7000	seconds	0.865577102
insert	rpqueue	4	7000	seconds	2.495290015
remove	rpqueue	4	7000	seconds	2.326038397
mix	rpqueue	4	7000	seconds	2.438730206
insert	rstack	5	7000	seconds	0.241111154
remove	rstack	5	7000	seconds	0.316897821
mix	rstack	5	7000	seconds	0.272872985
insert	rdeque	5	7000	seconds	0.699687839
remove	rdeque	5	7000	seconds	1.105360048
mix	rdeque	5	7000	seconds	0.855109288
insert	rpqueue	5	7000	seconds	2.513987412
remove	rpqueue	5	7000	seconds	2.356094936
mix	rpqueue	5	7000	seconds	2.422644171
insert	rstack	6	7000	seconds	0.248955034
remove	rstack	6	7000	seconds	0.337213765
mix	rstack	6	7000	seconds	0.273501464
insert	rdeque	6	7000	seconds	0.700416107
remove	rdeque	6	7000	seconds	1.102430829
mix	rdeque	6	7000	seconds	0.859059848
insert	rpqueue	6	7000	seconds	2.548962852
remove	rpqueue	6	7000	seconds	2.333988006
mix	rpqueue	6	7000	seconds	2.532922109
insert	rstack	7	7000	seconds	0.24623189
remove	rstack	7	7000	seconds	0.328477178
mix	rstack	7	7000	seconds	0.280854128
insert	rdeque	7	7000	seconds	0.692320427
remove	rdeque	7	7000	seconds	1.116073085
mix	rdeque	7	7000	seconds	0.861373645
insert	rpqueue	7	7000	seconds	2.548576551
remove	rpqueue	7	7000	seconds	2.333451146
mix	rpqueue	7	7000	seconds	2.436223783
insert	rstack	8	7000	seconds	0.244819068
